Channel edep
Ch.1 0.0
Ch.2 0.0
Ch.3 0.0
Ch.4 0.0
Ch.5 0.0
Ch.6 0.0
Ch.7 0.0
Ch.8 0.0
Ch.9 0.0
Ch.10 0.0
Ch.11 0.0
Ch.12 0.0
Ch.13 0.0
Ch.14 0.0
Ch.15 0.0
Ch.16 0.0
Ch.17 0.0
Ch.18 0.0
Ch.19 0.0
Ch.20 0.0
Ch.21 0.0
Ch.22 0.0
Ch.23 0.0
Ch.24 0.0
Ch.25 0.0
Ch.26 0.0
Ch.27 0.0
Ch.28 0.0
Ch.29 0.0
Ch.30 0.0
Ch.31 0.0
Ch.32 0.0
Ch.33 0.0
Ch.34 0.0
Ch.35 0.0
Ch.36 0.0
Ch.37 0.0
Ch.38 0.0
Ch.39 0.0
Ch.40 0.0
Ch.41 0.0
Ch.42 0.0
Ch.43 0.0
Ch.44 0.0
Ch.45 0.0
Ch.46 0.0
Ch.47 0.0
Ch.48 0.0
Ch.49 0.0
Ch.50 0.0
Ch.51 0.0
Ch.52 0.0
Ch.53 0.0
Ch.54 0.0
Ch.55 0.0
Ch.56 0.0
Ch.57 0.0
Ch.58 0.0
Ch.59 0.0
Ch.60 0.0
Ch.61 0.0
Ch.62 0.0
Ch.63 0.0
Ch.64 0.0
